"X","gene","timepoint"
352,"HORVU.MOREX.r2.1HG0058230","32H"
353,"HORVU.MOREX.r2.3HG0216660","32H"
354,"HORVU.MOREX.r2.5HG0413480","32H"
355,"HORVU.MOREX.r2.7HG0530090","32H"
356,"HORVU.MOREX.r2.5HG0416020","32H"
357,"HORVU.MOREX.r2.3HG0242810","32H"
358,"HORVU.MOREX.r2.7HG0620140","32H"
359,"HORVU.MOREX.r2.2HG0112790","32H"
360,"HORVU.MOREX.r2.3HG0254070","32H"
361,"HORVU.MOREX.r2.3HG0194520","32H"
362,"HORVU.MOREX.r2.5HG0359840","32H"
363,"HORVU.MOREX.r2.3HG0208540","32H"
364,"HORVU.MOREX.r2.7HG0545250","32H"
365,"HORVU.MOREX.r2.7HG0532400","32H"
366,"HORVU.MOREX.r2.7HG0593780","32H"
367,"HORVU.MOREX.r2.1HG0035800","32H"
368,"HORVU.MOREX.r2.2HG0128330","32H"
369,"HORVU.MOREX.r2.3HG0243750","32H"
370,"HORVU.MOREX.r2.2HG0110800","32H"
371,"HORVU.MOREX.r2.3HG0265850","32H"
372,"HORVU.MOREX.r2.5HG0419560","32H"
373,"HORVU.MOREX.r2.4HG0316710","32H"
374,"HORVU.MOREX.r2.2HG0090830","32H"
375,"HORVU.MOREX.r2.3HG0212490","32H"
376,"HORVU.MOREX.r2.4HG0280890","32H"
377,"HORVU.MOREX.r2.3HG0203640","32H"
378,"HORVU.MOREX.r2.5HG0391810","32H"
379,"HORVU.MOREX.r2.2HG0144360","32H"
380,"HORVU.MOREX.r2.6HG0505660","32H"
381,"HORVU.MOREX.r2.4HG0336900","32H"
382,"HORVU.MOREX.r2.3HG0187780","32H"
383,"HORVU.MOREX.r2.3HG0259650","32H"
384,"HORVU.MOREX.r2.2HG0121090","32H"
385,"HORVU.MOREX.r2.4HG0298000","32H"
386,"HORVU.MOREX.r2.6HG0486770","32H"
387,"HORVU.MOREX.r2.7HG0567790","32H"
388,"HORVU.MOREX.r2.5HG0371080","32H"
389,"HORVU.MOREX.r2.3HG0239790","32H"
390,"HORVU.MOREX.r2.3HG0231980","32H"
391,"HORVU.MOREX.r2.2HG0085280","32H"
392,"HORVU.MOREX.r2.3HG0206450","32H"
393,"HORVU.MOREX.r2.3HG0269260","32H"
394,"HORVU.MOREX.r2.1HG0030970","32H"
395,"HORVU.MOREX.r2.2HG0178800","32H"
396,"HORVU.MOREX.r2.6HG0473430","32H"
